session_id,timestamp,hypothesis,workload,config_g,config_c,iteration,run_type,cycles,cache_misses,branch_misses,page_faults,context_switches
20260715_161841,2026-07-15T16:19:04.102079,H1,lat_mem_rd,on,100000,1,workload_baseline,10010600000,86000,824000,822,50
20260715_161841,2026-07-15T16:19:12.557103,H1,lat_mem_rd,on,100000,1,tool_overhead,1700000,3000,2900,152,7
20260715_161841,2026-07-15T16:19:20.092891,H1,lat_mem_rd,on,100000,2,workload_baseline,10004900000,16886000,894000,15800,41
20260715_161841,2026-07-15T16:19:28.575841,H1,lat_mem_rd,on,100000,2,tool_overhead,5700000,12300,10200,194,19
20260715_161841,2026-07-15T16:19:36.106211,H1,lat_mem_rd,on,100000,3,workload_baseline,10011800000,101000,943000,323,655
20260715_161841,2026-07-15T16:19:44.554414,H1,lat_mem_rd,on,100000,3,tool_overhead,800000,2400,600,150,7
20260715_161841,2026-07-15T16:19:52.082267,H1,lat_mem_rd,on,100000,4,workload_baseline,10011400000,50000,806000,561,46
20260715_161841,2026-07-15T16:20:00.512340,H1,lat_mem_rd,on,100000,4,tool_overhead,750000,2200,700,145,7
20260715_161841,2026-07-15T16:20:08.035460,H1,lat_mem_rd,on,100000,5,workload_baseline,10005700000,1456000,802000,11184,46
20260715_161841,2026-07-15T16:20:16.487865,H1,lat_mem_rd,on,100000,5,tool_overhead,3000000,6400,4900,153,20
20260715_161841,2026-07-15T16:20:24.020844,H1,lat_mem_rd,on,100000,6,workload_baseline,10011100000,48000,792000,459,48
20260715_161841,2026-07-15T16:20:32.467349,H1,lat_mem_rd,on,100000,6,tool_overhead,1500000,2000,2500,148,7
20260715_161841,2026-07-15T16:20:40.021726,H1,lat_mem_rd,on,100000,7,workload_baseline,9893200000,84000,910000,767,670
20260715_161841,2026-07-15T16:20:48.465990,H1,lat_mem_rd,on,100000,7,tool_overhead,1800000,3500,3000,150,7
20260715_161841,2026-07-15T16:20:55.989865,H1,lat_mem_rd,on,100000,8,workload_baseline,10003500000,29352000,1137000,31148,557
20260715_161841,2026-07-15T16:21:04.436275,H1,lat_mem_rd,on,100000,8,tool_overhead,5250000,10000,11200,7,15
20260715_161841,2026-07-15T16:21:11.951830,H1,lat_mem_rd,on,100000,9,workload_baseline,10010700000,40000,846000,474,224
20260715_161841,2026-07-15T16:21:20.399281,H1,lat_mem_rd,on,100000,9,tool_overhead,1300000,2700,1400,146,7
20260715_161841,2026-07-15T16:21:27.910911,H1,lat_mem_rd,on,100000,10,workload_baseline,10011500000,53000,859000,1397,188
20260715_161841,2026-07-15T16:21:36.373549,H1,lat_mem_rd,on,100000,10,tool_overhead,1900000,3600,3000,146,7
20260715_161841,2026-07-15T16:21:43.883629,H1,lat_mem_rd,on,100000,11,workload_baseline,9996600000,50510000,1285000,53577,44
